open,high,low,close,from,to,volume,ask,bid,ema_30_60,ema_100_60,ema_30_300,ema_100_300,rsi_60,rsi_300,rsi_900,mood_forex,color,signal
109.333,109.344,109.328,109.339,1586541600,1586541900,884,109.348,10.933,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.395,1586541600,1586541900,888,109.349,10.933,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,1
109.333,109.344,109.328,1.093.395,1586541600,1586541900,888,109.349,10.933,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,109.343,1586541600,1586541900,892,109.356,10.933,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,10.934,1586541600,1586541900,894,109.356,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,109.338,1586541600,1586541900,897,109.348,109.328,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.405,1586541600,1586541900,901,109.357,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,10.934,1586541600,1586541900,903,109.353,109.327,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.405,1586541600,1586541900,908,109.357,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,109.342,1586541600,1586541900,911,109.357,109.327,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,109.337,1586541600,1586541900,915,10.935,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.415,1586541600,1586541900,918,109.356,109.327,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,1
109.333,109.344,109.328,1.093.405,1586541600,1586541900,920,109.357,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,109.338,1586541600,1586541900,922,109.348,109.328,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,109.341,1586541600,1586541900,925,109.358,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.375,1586541600,1586541900,926,109.351,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,1
109.333,109.344,109.328,1.093.375,1586541600,1586541900,926,109.351,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,109.341,1586541600,1586541900,928,109.358,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.355,1586541600,1586541900,929,109.347,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,109.342,1586541600,1586541900,931,109.357,109.327,1.093.644,1.094.194,1.094.335,1.094.414,42.835.838,0.0,0.0,0.5,0,0
1.093.405,1.093.415,1.093.365,1.093.365,1586541900,1586542200,4,109.348,109.325,1.093.644,1.094.194,1.094.335,1.094.414,42.835.838,0.0,0.0,0.5,0,0
